Data Provider,Short Name,Version,Entry Title,Processing Level,Platform,Start Time,End Time
LARC_CLOUD,TEMPO_CLDO4_L3,V04,TEMPO gridded cloud fraction and pressure (O2-O2 dimer) Version V04 (PROVISIONAL),3,IS-40e,2023-08-01T00:00:00.000Z,
LARC_CLOUD,TEMPO_CLDO4_L2,V04,TEMPO cloud pressure and fraction (O2-O2 dimer) V04 (PROVISIONAL),2,IS-40e,2023-08-01T00:00:00.000Z,
LARC_CLOUD,TEMPO_HCHO_L2,V04,TEMPO Formaldehyde total column V04 (PROVISIONAL) ,2,IS-40e,2023-08-01T00:00:00.000Z,
LARC_CLOUD,TEMPO_O3PROF_L2,V04,TEMPO ozone profile V04 (BETA),2,IS-40e,2023-08-01T00:00:00.000Z,
LARC_CLOUD,TEMPO_HCHO_L3,V04,TEMPO gridded formaldehyde total column V04  (PROVISIONAL),3,IS-40e,2023-08-01T00:00:00.000Z,
LARC_CLOUD,TEMPO_NO2_L3,V04,"TEMPO gridded NO2 tropospheric, stratospheric, and total columns V04  (PROVISIONAL)",3,IS-40e,2023-08-01T00:00:00.000Z,
LARC_CLOUD,TEMPO_O3PROF_L3,V04,TEMPO gridded ozone profile V04 (BETA),3,IS-40e,2023-08-01T00:00:00.000Z,
LARC_CLOUD,TEMPO_O3TOT_L3,V04,TEMPO gridded ozone total column V04 (PROVISIONAL) ,3,IS-40e,2023-08-01T00:00:00.000Z,
LARC_CLOUD,TEMPO_NO2_L2,V04,"TEMPO NO2 tropospheric, stratospheric, and total columns V04 (PROVISIONAL)",2,IS-40e,2023-08-01T00:00:00.000Z,
LARC_CLOUD,TEMPO_O3TOT_L2,V04,TEMPO ozone total column V04 (PROVISIONAL),2,IS-40e,2023-08-01T00:00:00.000Z,
LARC_CLOUD,TEMPO_NO2_L3,V03,TEMPO gridded NO2 tropospheric and stratospheric columns V03 (PROVISIONAL),3,IS-40e,2023-08-01T00:00:00.000Z,
LARC_CLOUD,TEMPO_HCHO_L3,V03,TEMPO gridded formaldehyde total column V03 (PROVISIONAL),3,IS-40e,2023-08-01T00:00:00.000Z,
LARC_CLOUD,TEMPO_O3TOT_L3,V03,TEMPO gridded ozone total column V03 (PROVISIONAL),3,IS-40e,2023-08-01T00:00:00.000Z,
LARC_CLOUD,TEMPO_NO2_L2,V03,TEMPO NO2 tropospheric and stratospheric columns V03 (PROVISIONAL),2,IS-40e,2023-08-01T00:00:00.000Z,
LARC_CLOUD,TEMPO_CLDO4_L3,V03,TEMPO gridded cloud fraction and pressure (O2-O2 dimer) V03 (PROVISIONAL),3,IS-40e,2023-08-01T00:00:00.000Z,
LARC_CLOUD,TEMPO_HCHO_L2,V03,TEMPO formaldehyde total column V03 (PROVISIONAL),2,IS-40e,2023-08-01T00:00:00.000Z,
LARC_CLOUD,TEMPO_CLDO4_L2,V03,TEMPO cloud pressure and fraction (O2-O2 dimer) V03 (PROVISIONAL),2,IS-40e,2023-08-01T00:00:00.000Z,
LARC_CLOUD,TEMPO_O3TOT_L2,V03,TEMPO ozone total column V03 (PROVISIONAL),2,IS-40e,2023-08-01T00:00:00.000Z,
LARC_CLOUD,TEMPO_CLDO4_L3_NRT,V02,TEMPO gridded cloud fraction and pressure (O2-O2 dimer) V02 (NRT)  (PROVISIONAL),3,IS-40e,2024-06-01T00:00:00.000Z,
LARC_CLOUD,TEMPO_HCHO_L3_NRT,V02,TEMPO gridded formaldehyde total column V02 (NRT) (PROVISIONAL),3,IS-40e,2024-06-01T00:00:00.000Z,
LARC_CLOUD,TEMPO_NO2_L3_NRT,V02,TEMPO gridded NO2 tropospheric and stratospheric columns V02 (NRT) (PROVISIONAL),3,IS-40e,2024-06-01T00:00:00.000Z,
LARC_CLOUD,TEMPO_CLDO4_L2_NRT,V02,TEMPO cloud pressure and fraction (O2-O2 dimer) V02 (NRT) (PROVISIONAL),2,IS-40e,2024-06-01T00:00:00.000Z,
LARC_CLOUD,TEMPO_HCHO_L2_NRT,V02,TEMPO formaldehyde total column V02 (NRT) (PROVISIONAL),2,IS-40e,2024-06-01T00:00:00.000Z,
LARC_CLOUD,TEMPO_NO2_L2_NRT,V02,TEMPO NO2 tropospheric and stratospheric columns V02 (NRT) PROVISIONAL,2,IS-40e,2024-06-01T00:00:00.000Z,
